date,country,revenue
2017-01-01,united_states,130990.33
2017-02-01,united_states,134770.05
2017-03-01,united_states,146997.3
2017-04-01,united_states,151006.84
2017-05-01,united_states,141517.47
2017-06-01,united_states,140517.92
2017-07-01,united_states,140315.48
2017-08-01,united_states,134022.21
2017-09-01,united_states,131887.07
2017-10-01,united_states,129077.61
2017-11-01,united_states,153699.71
2017-12-01,united_states,159777.82
2018-01-01,united_states,150014.6
2018-02-01,united_states,161613.53
2018-03-01,united_states,165877.74
2018-04-01,united_states,164957.3
2018-05-01,united_states,168856.77
2018-06-01,united_states,161433.63
2018-07-01,united_states,162554.96
2018-08-01,united_states,154687.74
2018-09-01,united_states,151140.87
2018-10-01,united_states,149436.98
2018-11-01,united_states,174614.93
2018-12-01,united_states,176547.78
2019-01-01,united_states,168207.93
2019-02-01,united_states,176605.57
2019-03-01,united_states,185888.34
2019-04-01,united_states,188737.69
2019-05-01,united_states,188799.71
2019-06-01,united_states,185750.17
2019-07-01,united_states,186460.35
2019-08-01,united_states,173329.15
2019-09-01,united_states,169876.88
2019-10-01,united_states,168805.24
2019-11-01,united_states,192443.6
2019-12-01,united_states,200519.16
2020-01-01,united_states,189029.67
2020-02-01,united_states,194819.49
2020-03-01,united_states,201278.77
2020-04-01,united_states,209464.43
2020-05-01,united_states,209673.91
2020-06-01,united_states,205915.25
2020-07-01,united_states,197137.09
2020-08-01,united_states,195204.52
2020-09-01,united_states,191720.9
2020-10-01,united_states,191960.74
2020-11-01,united_states,213073.81
2020-12-01,united_states,217376.69
2017-01-01,singapore,52882.59
2017-02-01,singapore,57147.85
2017-03-01,singapore,61381.19
2017-04-01,singapore,63840.67
2017-05-01,singapore,60911.03
2017-06-01,singapore,60244.43
2017-07-01,singapore,56788.52
2017-08-01,singapore,53309.46
2017-09-01,singapore,51636.98
2017-10-01,singapore,53723.42
2017-11-01,singapore,58909.09
2017-12-01,singapore,65238.76
2018-01-01,singapore,60612.27
2018-02-01,singapore,67424.65
2018-03-01,singapore,72016.91
2018-04-01,singapore,74582.09
2018-05-01,singapore,74529.93
2018-06-01,singapore,72491.35
2018-07-01,singapore,67746.66
2018-08-01,singapore,64338.94
2018-09-01,singapore,63910.04
2018-10-01,singapore,62331.3
2018-11-01,singapore,69176.28
2018-12-01,singapore,73306.73
2019-01-01,singapore,72404.71
2019-02-01,singapore,79306.31
2019-03-01,singapore,82790.48
2019-04-01,singapore,85517.63
2019-05-01,singapore,83849.9
2019-06-01,singapore,82466.1
2019-07-01,singapore,79813.27
2019-08-01,singapore,75337.85
2019-09-01,singapore,74188.48
2019-10-01,singapore,72519.5
2019-11-01,singapore,81162.7
2019-12-01,singapore,85083.74
2020-01-01,singapore,82845.41
2020-02-01,singapore,90093.06
2020-03-01,singapore,92795.11
2020-04-01,singapore,95436.24
